"id","tema","subtema","nomeobjeto","codigoobje","legenda"
1,"Áreas de proteção do litoral","Faixa marítima de proteção costeira","Faixa marítima de proteção costeira","01","Faixa marítima de proteção  costeira"
2,"Áreas de proteção do litoral","Praias","Praias","02","Praias"
3,"Áreas de proteção do litoral","Barreiras detríticas","Restingas","03","Barreiras detríticas"
4,"Áreas de proteção do litoral","Barreiras detríticas","Barreiras soldadas","04","Barreiras detríticas"
5,"Áreas de proteção do litoral","Barreiras detríticas","Ilhas-Barreira","05","Barreiras detríticas"
6,"Áreas de proteção do litoral","Tômbolos","Tômbolos","06","Tômbolos"
7,"Áreas de proteção do litoral","Sapais","Sapais","07","Sapais"
8,"Áreas de proteção do litoral","Ilhéus e rochedos emersos no mar","Ilhéus","08","Ilhéus e rochedos emersos  no mar"
9,"Áreas de proteção do litoral","Ilhéus e rochedos emersos no mar","Rochedos emersos no mar","09","Ilhéus e rochedos emersos  no mar"
10,"Áreas de proteção do litoral","Dunas costeiras e dunas fósseis","Dunas costeiras litorais","10","Dunas costeiras litorais"
11,"Áreas de proteção do litoral","Dunas costeiras e dunas fósseis","Dunas costeiras interiores","11","Dunas costeiras interiores"
12,"Áreas de proteção do litoral","Dunas costeiras e dunas fósseis","Dunas fósseis","12","Dunas fósseis"
13,"Áreas de proteção do litoral","Arribas e respetivas  faixas de proteção","Arribas","13","Arribas"
14,"Áreas de proteção do litoral","Arribas e respetivas  faixas de proteção","Faixa de proteção de arribas a  partir do rebordo superior","14","Faixas de proteção das  arribas"
15,"Áreas de proteção do litoral","Arribas e respetivas  faixas de proteção","Faixa de proteção de arribas a  partir da base da arriba","15","Faixas de proteção das  arribas"
16,"Áreas de proteção do litoral","Faixa terrestre de proteção costeira","Faixa terrestre de proteção costeira","16","Faixa terrestre de proteção  costeira"
17,"Áreas de proteção do litoral","Faixa terrestre de proteção costeira","Águas do mar – Margem","17","Águas do mar – Margem"
18,"Áreas de proteção do litoral","Águas de transição e  respetivos leitos, margens e faixas de  proteção","Águas de transição – Leito","18","Águas de transição – Leito"
19,"Áreas de proteção do litoral","Águas de transição e  respetivos leitos, margens e faixas de  proteção","Águas de transição – Margem","19","Águas de transição –"
20,"Áreas de proteção do litoral","Águas de transição e  respetivos leitos, margens e faixas de  proteção","Águas de transição – Faixa de  proteção","20","Águas de transição – Faixa  de proteção"
21,"Áreas relevantes para a sustentabilida do ciclo hidrológico terrestre","Cursos de água e  respetivos leitos e  margens","Cursos de água – Leito","21","Cursos de água – Leito"
22,"Áreas relevantes para a sustentabilida do ciclo hidrológico terrestre","Cursos de água e  respetivos leitos e  margens","Cursos de água – Leito canalizado","22","Cursos de água – Leito canalizado"
23,"Áreas relevantes para a sustentabilida do ciclo hidrológico terrestre","Cursos de água e  respetivos leitos e  margens","Cursos de água – Margem","23","Cursos de água – Margem"
24,"Áreas relevantes para a sustentabilida do ciclo hidrológico terrestre","Lagoas e lagos e respetivos leitos, margens e faixas de  proteção","Lagoas e lagos – Leito","24","Lagoas e lagos – Leito"
25,"Áreas relevantes para a sustentabilida do ciclo hidrológico terrestre","Lagoas e lagos e respetivos leitos, margens e faixas de  proteção","Lagoas e lagos – Margem","25","Lagoas e lagos – Margem"
26,"Áreas relevantes para a sustentabilida do ciclo hidrológico terrestre","Lagoas e lagos e respetivos leitos, margens e faixas de  proteção","Lagoas e lagos – Faixa de proteção","26","Lagoas e lagos – Faixa de  proteção"
27,"Áreas relevantes para a sustentabilida do ciclo hidrológico terrestre","Albufeiras que contribuam para a  conectividade e coerência ecológica  da REN, bem como  os respetivos leitos,  margens e faixas de  proteção","Albufeiras – Leito","27","Albufeiras – Leito"
28,"Áreas relevantes para a sustentabilida do ciclo hidrológico terrestre","Albufeiras que contribuam para a  conectividade e coerência ecológica  da REN, bem como  os respetivos leitos,  margens e faixas de  proteção","Albufeiras – Margem","28","Albufeiras – Margem"
29,"Áreas relevantes para a sustentabilida do ciclo hidrológico terrestre","Albufeiras que contribuam para a  conectividade e coerência ecológica  da REN, bem como  os respetivos leitos,  margens e faixas de  proteção","Albufeiras – Faixa de proteção","29","Albufeiras – Faixa de proteção"
30,"Áreas relevantes para a sustentabilida do ciclo hidrológico terrestre","Áreas estratégicas de  infiltração, proteção  e recarga de aquíferos","Áreas estratégicas de infiltração,  proteção e recarga de aquíferos","30","Áreas estratégicas de infiltração, proteção e recarga de aquíferos"
31,"Áreas de prevenção de  riscos naturais","Zonas adjacentes","Zonas adjacentes","31","Zonas adjacentes"
32,"Áreas de prevenção de  riscos naturais","Zonas ameaçadas pelo mar","Zonas ameaçadas pelo mar","32","Zonas ameaçadas pelo mar"
33,"Áreas de prevenção de  riscos naturais","Zonas ameaçadas pelas cheias","Zonas ameaçadas pelas cheias","33","Zonas ameaçadas pelas  cheias"
34,"Áreas de prevenção de  riscos naturais","Áreas de elevado risco de erosão hídrica do solo","Áreas de elevado risco de erosão  hídrica do solo","34","Áreas de elevado risco de  erosão hídrica do solo"
35,"Áreas de prevenção de  riscos naturais","Áreas de instabilidade de vertentes","Áreas de instabilidade de vertentes","35","Áreas de instabilidade de  vertentes"
36,"Áreas de prevenção de  riscos naturais","Áreas de instabilidade de vertentes","Escarpas","36","Escarpas"
37,"Áreas de exclusão","Exclusão por compromisso – C","Exclusão por compromisso – C","37","Exclusão por compromisso  – C"
38,"Áreas de exclusão","Exclusão para a satisfação de carências – E","Exclusão para a satisfação de  carências – E","38","Exclusão para a satisfação  de carências – E"
