"id","Código do Objecto","Nome do Objeto","Legenda","Geometria","Estilo de contorno/traço","Espessura de contorno/traço(mm)","Cor do contorno/traço (R,G,B)","Preenchimento","Especificações do padrão/simbolo/texto/contorno"
1,"01","Faixa marítima de proteção costeira","Faixa marítima de proteção costeira","polígono","contínuo","0,3","110,110,110","Com padrão sobre fundo 100% transparente","Padrão: linhas de ondas espaçadas / Ângulo da linha: 0 / Cor : 0,132,168 / Espessura da onda: 0,2 mm / Espaçamento entre linhas: 15 mm / Primeira linha a começar na origem e segunda com deslocamento de 5 mm no eixo do X / Comprimento da onda: 5 mm / Altura da onda: 2,5 mm"
2,"02","Praias","Praias","polígono","contínuo","0,3","115,76,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço contínuo / Ângulo da linha: 45 / Cor: 245,202,122 / Espessura da linha: 0,4 mm / Espaçamento entre linhas: 2 mm"
3,"03","Restingas","Barreiras detríticas","polígono","contínuo","0,3","230,152,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço contínuo / Ângulo da linha: 153 / Cor: 230,152,0 / Espessura da linha: 0,4 mm / Espaçamento entre linhas: 4 mm"
4,"04","Barreiras soldadas","Barreiras detríticas","polígono","contínuo","0,3","230,152,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço contínuo / Ângulo da linha: 153 / Cor: 230,152,0 / Espessura da linha: 0,4 mm / Espaçamento entre linhas: 4 mm"
5,"05","Ilhas-Barreira","Barreiras detríticas","polígono","contínuo","0,3","230,152,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço contínuo / Ângulo da linha: 153 / Cor: 230,152,0 / Espessura da linha: 0,4 mm / Espaçamento entre linhas: 4 mm"
6,"06","Tômbolos","Tômbolos","polígono","contínuo","0,3","230,152,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço continuo / Ângulo da linha: 153 / Cor: 230,152,0 / Espessura da linha: 0,4 mm / Espaçamento entre linhas: 2 mm"
7,"07","Sapais","Sapais","polígono","contínuo","0,3","0,123,95","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço contínuo / Ângulo da linha: 0 / Cor: 0,123,95 / Espessura da linha: 0,3 mm / Espaçamento entre linhas: 2 mm"
8,"08","Ilhéus","Ilhéus e rochedos emersos no mar","polígono","contínuo","0,3","0,0,0","Com padrão sobre fundo 100% transparente","Padrão: rochas / Cor: 52,52,52"
9,"09","Rochedos emersos no mar","Ilhéus e rochedos emersos no mar","polígono","contínuo","0,3","0,0,0","Com padrão sobre fundo 100% transparente","Padrão: rochas / Cor: 52,52,52"
10,"10","Dunas costeiras litorais","Dunas costeiras litorais","polígono","contínuo","0,3","115,76,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de pontos / Ângulo da linha: 0 / Cor: 205,170,102 / Espessura da linha: 0,7 mm / Espaçamento entre linhas: 2,5 mm"
11,"11","Dunas costeiras interiores","Dunas costeiras interiores","polígono","contínuo","0,3","115,76,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de pontos / Ângulo da linha: 0 / Cor: 115,76,0 / Espessura da linha: 0,7 mm / Espaçamento entre linhas: 2,5 mm"
12,"12","Dunas fósseis","Dunas fósseis","polígono","contínuo","0,3","230,152,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de pontos / Ângulo da linha: 0 / Cor: 230,152,0 / Espessura da linha: 0,7 mm / Espaçamento entre linhas: 2,5 mm"
13,"13","Arribas","Arribas","polígono","contínuo","0,3","168,56,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço / contínuo / Ângulo da linha: 45 / Cor: 168,56,0 / Espessura da linha: 0,3 mm / Espaçamento entre linhas: 1,4 mm"
14,"14","Faixa de proteção de arribas a partir do rebordo superior","Faixas de proteção das arribas","polígono","contínuo","0,3","255,170,0","Com padrão sobre fundo 100% transparente","Padrão: pontos / Cor: 255,170,0"
15,"15","Faixa de proteção de arribas a partir da base da arriba","Faixas de proteção das arribas","polígono","contínuo","0,3","255,170,1","Com padrão sobre fundo 100% transparente","Padrão: pontos / Cor: 255,170,0"
16,"16","Faixa terrestre de proteção costeira","Faixa terrestre de proteção costeira","polígono","contínuo","0,3","168,56,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço interrompido / Ângulo da linha: 0 / Cor: 168,56,0 / Espessura da linha: 0,3 mm / Espaçamento entre linhas: 8 mm / Comprimento do traço: 5 mm / Espaçamento entre traços: 5mm"
17,"17","Águas do Mar – Margem","Águas do Mar – Margem","polígono","contínuo","0,3","168,56,1","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço interrompido / Ângulo da linha: 0 / Cor: 168,56,0 / Espessura da linha: 0,3 mm / Espaçamento entre linhas: 5 mm / Comprimento do traço: 5 mm / Espaçamento entre traços: 5mm"
18,"18","Águas de transição – Leito","Águas de transição – Leito","polígono","contínuo","0,3","0,123,95","Com padrão sobre fundo 100% transparente","Padrão: linhas de pontos / Ângulo da linha: 0 / Cor: 0,123,95 / Espessura da linha: 2 mm / Espaçamento entre linhas: 4,5 mm"
19,"19","Águas de transição – Margem","Águas de transição – Margem","polígono","contínuo","0,3","168,56,1","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço interrompido / Ângulo da linha: 0 / Cor: 168,56,0 / Espessura da linha: 0,3 mm / Espaçamento entre linhas: 5 mm / Comprimento do traço: 5 mm / Espaçamento entre traços: 5mm"
20,"20","Águas de transição – Faixa de proteção ","Águas de transição – Faixa de proteção ","polígono","interrompido","0,7","0,123,95","100% transparente","Comprimento do traço: 3 mm / Espaçamento entre traços: 4 mm"
21,"21","Cursos de água – Leito","Cursos de água – Leito","linha/polígono","contínuo/sem contorno","0,4/---","0,92,230/---","---/Com cor opaca","---/Cor: 0,92,230"
22,"22","Cursos de água – Leito canalizado","Cursos de água – Leito canalizado","linha","interrompido","0,4","0,92,230",,"Comprimento do traço: 4 mm / Espaçamento entre traços: 4 mm"
23,"23","Cursos de água – Margem","Cursos de água – Margem","polígono","contínuo","0,3","0,92,230","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço contínuo / Ângulo da linha: 45 / Cor: 0,92,230 / Espessura da linha: 0,3 mm / Espaçamento entre linhas: 0,7 mm"
24,"24","Lagoas e lagos – Leito","Lagoas e lagos – Leito","polígono","sem contorno",,,"Com cor opaca","Cor: 122,182,245"
25,"25","Lagoas e lagos – Margem","Lagoas e lagos – Margem","polígono","contínuo","0,3","102,153,205","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço contínuo / Ângulo da linha: 135 / Cor: 102,153,205 / Espessura da linha: 0,4 mm / Espaçamento entre linhas: 2 mm"
26,"26","Lagoas e lagos – Faixa de proteção","Lagoas e lagos – Faixa de proteção","polígono","interrompido","0,7","68,101,137","100% transparente","Comprimento do traço: 3 mm / Espaçamento entre traços: 4 mm"
27,"27","Albufeiras – Leito","Albufeiras – Leito","polígono","contínuo",,,"Com cor opaca","Cor: 115,223,255"
28,"28","Albufeiras – Margem","Albufeiras – Margem","polígono","contínuo","0,3","0,169,230","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço contínuo / Ângulo da linha: 135 / Cor: 0,169,230 / Espessura da linha: 0,4 mm / Espaçamento entre linhas: 2 mm"
29,"29","Albufeiras – Faixa de proteção","Albufeiras – Faixa de proteção","polígono","interrompido","0,4","0,169,230","100% transparente","Comprimento do traço: 3 mm / Espaçamento entre traços: 4 mm"
30,"30","Áreas estratégicas de infiltração, proteção e recarga de aquíferos","Áreas estratégicas de infiltração, proteção e recarga de aquíferos","polígono","contínuo","0,4","0,77,168","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço contínuo / Ângulo da linha: 45 / Cor: 0,77,168 / Espessura da linha: 0,3 mm / Espaçamento entre linhas: 2,5 mm"
31,"31","Zonas adjacentes","Zonas adjacentes","polígono","contínuo","0,3","168,0,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço interrompido/ Ângulo da linha: 135 / Cor: 168,56,0 / Espessura da linha: 0,3 mm / Espaçamento entre linhas: 4 mm / Comprimento do traço: 4 mm / Espaçamento entre traços: 4mm"
32,"32","Zonas ameaçadas pelo mar","Zonas ameaçadas pelo mar","polígono","contínuo","0,3","230,0,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço contínuo / Ângulo da linha: 45Cor: 255,127,127Espessura da linha: 0,4 mm / Espaçamento entre linhas: 1,7 mm"
33,"33","Zonas ameaçadas pelas cheias","Zonas ameaçadas pelas cheias","polígono","contínuo","0,3","168,0,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço contínuo / Ângulo da linha: 135 / Cor: 168,0,0 / Espessura da linha: 0,3 mm / Espaçamento entre linhas: 2,5 mm"
34,"34","Áreas de elevado risco de erosão hídrica do solo","Áreas de elevado risco de erosão hídrica do solo","polígono","contínuo","0,3","230,0,0","Com padrão sobre fundo 100% transparente","Padrão: pontos / Cor: 230,0,0"
35,"35","Áreas de instabilidade de vertentes","Áreas de instabilidade de vertentes","polígono","contínuo","0,3","255,85,0","Com padrão sobre fundo 100% transparente","Padrão: linhas de traço contínuo / Ângulo da linha: 45 / Cor: 255,85,0 / Espessura da linha: 0,3mm / Espaçamento entre linhas: 0,7 mm"
36,"36","Escarpas","Escarpas","polígono","linha composta por traço continuo com cruzes","0,3","0,0,0","100% transparente","Espaçamento entre cruzes: 6 mm / Tamanho da cruz: 4 mm"
37,"37","Exclusão por compromisso – C","Exclusão por compromisso – C","polígono","contínuo","0,7","255,134,1","Com texto sobre fundo 100% transparente","Texto: Cor: 0,0,0 / Fonte: Calibri a negrito / Tamanho letra: 10 mm"
38,"38","Exclusão para a satisfação de carências – E","Exclusão para a satisfação de carências – E","polígono","contínuo","0,7","255,0,0","Com texto sobre fundo 100% transparente","Texto: Cor: 0,0,0 / Fonte: Calibri a negrito / Tamanho letra: 10 mm"
